"","from","to","n_to","toix","li","n","li_fit"
"1","A","B",1,1,1,60.2250640921258,1
"2","A","B",2,1,0.5,202.774935907874,0.504495240197524
"3","A","S",2,2,0.5,199.161335737587,0.495504759802476
"4","B","C",1,1,1,430.846156384095,1
"5","B","C",3,1,0.333333333333333,585.783316251059,0.292731255173676
"6","B","J(B,B)",3,2,0.333333333333333,754.629472635154,0.377108098826191
"7","B","not(B)",3,3,0.333333333333333,660.683116993452,0.330160646000133
"8","C","equal(x,D)",2,1,0.5,265.380545818126,0.543435115410782
"9","C","equal(x,D)",5,1,0.2,124.71152473014,0.233852890069965
"10","C","equal(x,x,G)",5,3,0.2,97.0672767221055,0.182015761909768
"11","C","hor(x,x,I)",5,5,0.2,101.869979870873,0.191021553587143
"12","C","K(x,E)",2,2,0.5,222.958426567796,0.456564884589218
"13","C","K(x,E)",5,2,0.2,98.4753721089591,0.184656152815279
"14","C","K(x,x,H)",5,4,0.2,111.166346817155,0.208453641617845
"15","Ef","colour",7,1,0.142857142857143,107.126456044451,0.271143017109385
"16","Ef","grounded",7,7,0.142857142857143,48.6154967640464,0.12304852561729
"17","Ef","orientation",7,6,0.142857142857143,61.1279629832274,0.154718273384734
"18","Ef","rotation",4,4,0.25,77.4947813345167,0.239600133478834
"19","Ef","rotation",7,5,0.142857142857143,41.2561237835522,0.104421543379247
"20","Ef","size",4,1,0.25,80.493023645471,0.248870167480292
"21","Ef","size",7,2,0.142857142857143,58.1295997183544,0.147129249234712
"22","Ef","xpos",4,2,0.25,94.5638665219859,0.292374720603936
"23","Ef","xpos",7,3,0.142857142857143,41.0904429874758,0.104002196071551
"24","Ef","ypos",4,3,0.25,70.8821271747811,0.219154978436938
"25","Ef","ypos",7,4,0.142857142857143,37.7459882671594,0.0955371952030816
"26","Ev","'blue'",3,3,0.333333333333333,10.3016816516817,0.815328012186717
"27","Ev","'blue'",7,2,0.142857142857143,36.3679532835454,0.0909294339778558
"28","Ev","'green'",7,3,0.142857142857143,22.3512635220254,0.0558840285814823
"29","Ev","'lhs'",7,2,0.142857142857143,15.0452087150178,0.037616972884593
"30","Ev","'no'",7,1,0.142857142857143,26.3141770554037,0.0657923531353501
"31","Ev","'red'",3,1,0.333333333333333,2.33333333333333,0.184671987813283
"32","Ev","'red'",7,1,0.142857142857143,39.772224253865,0.0994410054161765
"33","Ev","'rhs'",7,3,0.142857142857143,13.0452411509504,0.032616528753001
"34","Ev","'strange'",7,4,0.142857142857143,15.1411354619864,0.0378568149438143
"35","Ev","'upright'",7,1,0.142857142857143,20.6174783682852,0.0515491103791942
"36","Ev","'yes'",7,2,0.142857142857143,23.0224204216552,0.0575620970864065
"37","Ev","0",4,1,0.25,10.0105655294919,0.0258902438194702
"38","Ev","0",7,1,0.142857142857143,4.62750340203546,0.0115699737567598
"39","Ev","0.1",4,2,0.25,2.2509785898701,0.00582168753128395
"40","Ev","0.2",4,3,0.25,1.75371868709984,0.0045356283085118
"41","Ev","0.3",4,4,0.25,1.40434932345172,0.00363205717846377
"42","Ev","0.4",4,5,0.25,1.96988877655188,0.00509470724425241
"43","Ev","0.5",4,6,0.25,2.15640465334925,0.00557709173214772
"44","Ev","0.5",7,2,0.142857142857143,3.17494477415356,0.00793819572341328
"45","Ev","0.6",4,7,0.25,1.34141360450551,0.00346928704288345
"46","Ev","0.7",4,8,0.25,1.85620466789082,0.00480068696308421
"47","Ev","0.8",4,9,0.25,2.42021312138534,0.00625937741710459
"48","Ev","0.9",4,10,0.25,1.44929016148967,0.00374828730061081
"49","Ev","1",4,1,0.25,36.6670787334698,0.0948317660736023
"50","Ev","1",7,1,0.142857142857143,33.5782831799229,0.0839545261096666
"51","Ev","1.1",4,12,0.25,1.89189628505038,0.00489299590086099
"52","Ev","1.2",4,13,0.25,3.34836808782148,0.00865985702162736
"53","Ev","1.3",4,14,0.25,2.62464827521019,0.00678810638473416
"54","Ev","1.4",4,15,0.25,1.8118899165711,0.00468607608389994
"55","Ev","1.5",4,16,0.25,2.08204891752507,0.00538478610024381
"56","Ev","1.5",7,4,0.142857142857143,4.34138080789977,0.0108545921313438
"57","Ev","1.6",4,17,0.25,2.43416582185137,0.0062954631722941
"58","Ev","1.7",4,18,0.25,2.34689035962809,0.00606974335758824
"59","Ev","1.8",4,19,0.25,2.04781678310587,0.0052962518107511
"60","Ev","1.9",4,20,0.25,2.71721825413971,0.00702751936472893
"61","Ev","2",4,2,0.25,61.74502225566,0.159690646460289
"62","Ev","2",7,1,0.142857142857143,34.7072098630223,0.0867771392904629
"63","Ev","2.1",4,22,0.25,2.82028332311898,0.0072940757103502
"64","Ev","2.2",4,23,0.25,2.25745727551758,0.0058384433030282
"65","Ev","2.3",4,24,0.25,2.78179767398658,0.00719454059051578
"66","Ev","2.4",4,25,0.25,1.90340273224429,0.00492275493120432
"67","Ev","2.5",4,26,0.25,2.0790958225678,0.00537714853488944
"68","Ev","2.5",7,6,0.142857142857143,3.95230805764829,0.00988180807938617
"69","Ev","2.6",4,27,0.25,3.61952412388814,0.00936114566173511
"70","Ev","2.7",4,28,0.25,1.85859127976637,0.0048068594378738
"71","Ev","2.8",4,29,0.25,3.73159392169051,0.00965099086392212
"72","Ev","2.9",4,30,0.25,2.29152820110031,0.00592656065942462
"73","Ev","3",4,4,0.25,59.4342263271906,0.153714253835032
"74","Ev","3",7,4,0.142857142857143,35.3236559646548,0.0883184164325193
"75","Ev","3.1",4,32,0.25,2.67740485915085,0.00692455030663668
"76","Ev","3.2",4,33,0.25,2.11920112534074,0.00548087255169809
"77","Ev","3.3",4,34,0.25,2.32423860994979,0.0060111593225124
"78","Ev","3.4",4,35,0.25,2.80597786508315,0.00725707762114079
"79","Ev","3.5",4,36,0.25,2.57545360902636,0.00666087462161702
"80","Ev","3.5",7,8,0.142857142857143,4.50809817655611,0.0112714293354616
"81","Ev","3.6",4,37,0.25,2.96337159689723,0.00766414374346102
